date,baseline_pl,experiment_pl,baseline_trades,experiment_trades,blocked,day_type,first_trade_holds
2025-06-24,-502.0,8.0,5,1,2,CHOP,2
2025-06-25,69.0,32.0,1,1,0,CHOP,0
2025-06-26,51.0,0.0,1,0,0,CHOP,0
2025-06-27,58.0,102.0,1,1,0,CHOP,0
2025-06-30,-521.0,-26.0,4,1,0,CHOP,0
2025-07-01,235.0,60.0,2,1,0,CHOP,0
2025-07-02,-322.0,0.0,2,0,1,CHOP,0
2025-07-03,113.0,53.0,3,1,2,TREND,2
2025-07-04,-210.0,10.0,5,2,0,CHOP,0
2025-07-07,52.0,92.0,1,1,0,CHOP,0
2025-07-08,-186.0,-278.0,2,2,0,CHOP,0
2025-07-09,12.0,-203.0,2,2,0,CHOP,0
2025-07-10,-121.0,51.0,4,1,2,CHOP,2
2025-07-11,-252.0,-280.0,2,2,0,CHOP,0
2025-07-14,58.0,-142.0,1,1,0,CHOP,0
2025-07-15,83.0,92.0,2,1,1,CHOP,0
2025-07-16,-266.0,-6.0,4,1,2,CHOP,2
2025-07-17,140.0,-302.0,4,1,2,CHOP,2
2025-07-18,66.0,66.0,1,1,0,CHOP,0
2025-07-21,-279.0,-166.0,3,2,0,CHOP,0
2025-07-22,61.0,0.0,1,0,0,CHOP,0
2025-07-23,185.0,24.0,3,1,0,CHOP,0
2025-07-24,-198.0,106.0,7,1,4,CHOP,4
2025-07-25,-14.0,6.0,2,1,0,CHOP,0
2025-07-28,-526.0,-230.0,5,2,2,CHOP,2
2025-07-29,58.0,-40.0,1,1,0,CHOP,0
2025-07-30,-327.0,-200.0,4,2,0,CHOP,0
2025-07-31,-514.0,-92.0,3,1,0,CHOP,0
2025-08-01,199.0,-3.0,3,1,2,CHOP,2
2025-08-04,251.0,91.0,4,1,0,CHOP,0
2025-08-05,-239.0,99.0,2,1,0,CHOP,0
2025-08-06,-284.0,-28.0,2,1,1,CHOP,0
2025-08-07,430.0,415.0,5,2,0,CHOP,0
2025-08-08,-282.0,-138.0,3,2,0,CHOP,0
2025-08-11,413.0,99.0,2,1,0,CHOP,0
2025-08-12,-552.0,-255.0,3,2,0,CHOP,0
2025-08-13,58.0,60.0,1,1,0,CHOP,0
2025-08-14,-560.0,-48.0,4,1,0,CHOP,0
2025-08-15,50.0,100.0,1,1,0,CHOP,0
2025-08-18,-207.0,-264.0,4,2,2,CHOP,2
2025-08-19,-361.0,110.0,4,2,0,CHOP,0
2025-08-20,160.0,135.0,3,3,0,CHOP,0
2025-08-21,23.0,115.0,2,1,1,CHOP,0
2025-08-22,582.0,490.0,3,2,2,CHOP,2
2025-08-25,37.0,98.0,3,1,2,CHOP,2
2025-08-26,62.0,-78.0,1,1,0,CHOP,0
2025-08-27,-55.0,-38.0,3,1,0,CHOP,0
2025-08-28,19.0,-14.0,2,1,0,CHOP,0
2025-08-29,-201.0,-104.0,3,2,2,CHOP,2
2025-09-01,51.0,84.0,1,1,0,CHOP,0
2025-09-02,-417.0,98.0,4,1,2,CHOP,2
2025-09-03,54.0,71.0,1,1,1,CHOP,0
2025-09-04,392.0,22.0,2,1,0,CHOP,0
2025-09-05,371.0,67.0,3,1,0,TREND,0
2025-09-08,-197.0,-178.0,2,1,0,CHOP,0
2025-09-09,-674.0,-386.0,4,2,0,CHOP,0
2025-09-10,-391.0,-204.0,3,1,0,CHOP,0
2025-09-11,-160.0,71.0,3,1,2,CHOP,2
2025-09-12,60.0,6.0,1,1,0,CHOP,0
2025-09-15,-496.0,-2.0,5,1,0,CHOP,0
2025-09-16,66.0,98.0,1,1,0,CHOP,0
2025-09-17,-86.0,0.0,3,0,0,CHOP,0
2025-09-18,-55.0,-230.0,8,4,12,CHOP,12
2025-09-22,-160.0,62.0,2,1,0,TREND,0
2025-09-23,-70.0,13.0,2,1,0,CHOP,0
2025-09-24,65.0,-38.0,1,1,0,CHOP,0
2025-09-25,-453.0,-58.0,3,1,0,CHOP,0
2025-09-26,-344.0,-360.0,6,2,4,CHOP,4
2025-09-29,54.0,-20.0,1,1,0,CHOP,0
2025-09-30,-255.0,-168.0,3,2,0,CHOP,0
2025-10-01,51.0,0.0,1,0,0,CHOP,0
2025-10-02,-792.0,-232.0,5,2,0,CHOP,0
2025-10-03,328.0,288.0,3,2,0,CHOP,0
2025-10-06,82.0,99.0,3,1,0,CHOP,0
2025-10-07,54.0,54.0,1,1,0,TREND,0
2025-10-08,-455.0,0.0,3,0,0,CHOP,0
2025-10-09,66.0,116.0,1,1,0,CHOP,0
2025-10-10,269.0,-420.0,4,2,0,CHOP,0
2025-10-13,51.0,-276.0,1,1,0,CHOP,0
2025-10-14,141.0,-267.0,8,3,0,CHOP,0
2025-10-15,251.0,236.0,2,2,0,CHOP,0
2025-10-16,-120.0,-144.0,5,2,0,CHOP,0
2025-10-17,-1048.0,-14.0,6,1,3,CHOP,2
2025-10-20,50.0,94.0,1,1,0,CHOP,0
2025-10-21,51.0,51.0,1,1,0,CHOP,0
2025-10-22,54.0,28.0,1,1,0,CHOP,0
2025-10-23,-425.0,-206.0,3,2,0,CHOP,0
2025-10-24,53.0,19.0,1,1,0,CHOP,0
2025-10-27,-234.0,-130.0,2,1,0,CHOP,0
2025-10-28,-534.0,-268.0,3,1,0,CHOP,0
2025-10-29,-465.0,-32.0,5,1,2,CHOP,2
2025-10-30,226.0,113.0,2,1,0,CHOP,0
2025-10-31,-610.0,-150.0,4,1,0,CHOP,0
2025-11-03,58.0,98.0,1,1,0,CHOP,0
2025-11-04,74.0,-22.0,6,3,6,CHOP,6
2025-11-05,43.0,122.0,4,1,3,CHOP,2
2025-11-06,53.0,77.0,3,1,2,TREND,2
2025-11-07,-841.0,16.0,4,1,0,CHOP,0
2025-11-10,-59.0,36.0,2,1,0,CHOP,0
2025-11-11,59.0,97.0,1,1,0,CHOP,0
2025-11-12,71.0,82.0,1,1,0,CHOP,0
2025-11-13,52.0,-22.0,1,1,0,CHOP,0
2025-11-14,-356.0,-354.0,2,1,0,CHOP,0
2025-11-17,595.0,0.0,6,0,0,CHOP,0
2025-11-18,-627.0,-454.0,3,2,0,CHOP,0
2025-11-19,-31.0,95.0,2,1,0,CHOP,0
2025-11-20,335.0,46.0,8,1,0,CHOP,0
2025-11-21,668.0,-205.0,4,2,0,CHOP,0
2025-11-24,117.0,-162.0,4,2,1,CHOP,0
2025-11-25,515.0,-51.0,6,1,0,CHOP,0
2025-11-26,52.0,0.0,1,0,0,CHOP,0
2025-11-27,-62.0,-8.0,2,1,0,CHOP,0
2025-11-28,145.0,205.0,3,2,0,CHOP,0
2025-12-01,18.0,-7.0,2,2,0,CHOP,0
2025-12-02,-413.0,-222.0,4,1,2,CHOP,2
2025-12-03,60.0,108.0,1,1,0,CHOP,0
2025-12-04,211.0,40.0,2,1,0,CHOP,0
2025-12-05,-7.0,66.0,2,1,0,CHOP,0
2025-12-08,85.0,0.0,3,0,1,CHOP,0
2025-12-09,-302.0,-144.0,4,1,0,CHOP,0
2025-12-10,715.0,118.0,5,1,0,CHOP,0
2025-12-11,472.0,89.0,6,1,2,CHOP,2
2025-12-12,313.0,-102.0,4,2,2,CHOP,2
2025-12-15,210.0,117.0,3,2,4,CHOP,4
2025-12-16,54.0,100.0,1,1,0,CHOP,0
2025-12-17,-423.0,-114.0,8,1,0,CHOP,0
2025-12-18,-593.0,-58.0,8,1,0,CHOP,0
2025-12-22,55.0,0.0,1,0,0,CHOP,0
2025-12-23,18.0,52.0,2,1,1,CHOP,0
2025-12-24,58.0,58.0,1,1,0,CHOP,0
2025-12-26,-200.0,-344.0,4,2,0,CHOP,0
2025-12-29,26.0,105.0,3,1,2,CHOP,2
2025-12-30,0.0,0.0,0,0,0,CHOP,0
2025-12-31,13.0,50.0,4,1,2,CHOP,2
2026-01-02,-182.0,0.0,2,0,1,CHOP,0
2026-01-05,131.0,56.0,5,1,2,CHOP,2
2026-01-06,299.0,154.0,7,2,0,CHOP,0
