date,total_pts,trades,mode,blocked,first_trade_holds
2025-11-18,-178.0,3,TREND,0,0
2025-11-19,-31.0,2,TREND,0,0
2025-11-20,-146.0,2,TREND,0,0
2025-11-21,-130.0,3,TREND,0,0
2025-11-24,-69.0,2,TREND,0,0
2025-11-25,70.0,2,TREND,0,0
2025-11-26,26.0,1,TREND,0,0
2025-11-27,14.0,1,CHOP,0,0
2025-11-28,236.0,1,TREND,1,0
2025-12-01,54.0,2,TREND,0,0
2025-12-02,-124.0,2,TREND,1,1
2025-12-03,-50.0,2,TREND,0,0
2025-12-04,87.0,2,TREND,0,0
2025-12-05,66.0,1,CHOP,0,0
2025-12-08,66.0,1,TREND,1,0
2025-12-09,-108.0,2,TREND,0,0
2025-12-10,118.0,1,TREND,0,0
2025-12-11,-58.0,2,TREND,1,1
2025-12-12,-8.0,2,TREND,1,1
2025-12-15,169.0,1,TREND,1,0
2025-12-16,-277.0,3,TREND,0,0
2025-12-17,-112.0,2,TREND,0,0
2025-12-18,-11.0,2,TREND,0,0
2025-12-22,-24.0,1,TREND,0,0
2025-12-23,52.0,1,TREND,0,0
2025-12-24,155.0,1,TREND,0,0
2025-12-26,-242.0,3,CHOP,0,0
2025-12-29,129.0,2,TREND,1,1
2025-12-30,0.0,0,TREND,1,0
2025-12-31,-122.0,2,TREND,1,1
2026-01-02,116.0,1,TREND,0,0
2026-01-05,255.0,1,CHOP,1,1
2026-01-06,94.0,1,TREND,1,0
2026-01-07,237.0,1,TREND,0,0
2026-01-08,304.0,1,TREND,3,1
2026-01-09,-340.0,3,TREND,0,0
2026-01-12,-188.0,2,TREND,0,0
2026-01-13,73.0,1,TREND,1,0
2026-01-14,-298.0,3,TREND,0,0
2026-01-15,82.0,1,TREND,0,0
2026-01-16,58.0,1,TREND,0,0
2026-01-19,-52.0,1,TREND,0,0
2026-01-20,-138.0,3,TREND,0,0
2026-01-21,314.0,1,TREND,0,0
2026-01-22,-18.0,1,TREND,0,0
2026-01-23,-128.0,2,CHOP,2,0
2026-01-26,-116.0,1,TREND,0,0
2026-01-27,28.0,1,TREND,0,0
2026-01-28,17.0,1,TREND,0,0
2026-01-29,-192.0,3,TREND,0,0
2026-01-30,-184.0,2,TREND,0,0
2026-02-02,-168.0,2,TREND,0,0
2026-02-03,-20.0,1,TREND,0,0
2026-02-04,-281.0,3,TREND,1,1
2026-02-05,-20.0,2,TREND,0,0
2026-02-06,174.0,1,TREND,2,2
2026-02-09,94.0,2,TREND,0,0
2026-02-10,85.0,1,TREND,0,0
2026-02-11,365.0,1,TREND,1,1
2026-02-12,-62.0,2,TREND,0,0
2026-02-13,-226.0,2,TREND,1,0
2026-02-16,-270.0,3,TREND,0,0
2026-02-17,106.0,1,CHOP,1,0
2026-02-18,80.0,2,TREND,0,0
2026-02-19,-94.0,2,TREND,0,0
2026-02-20,747.0,3,TREND,0,0
2026-02-23,652.0,1,TREND,2,0
2026-02-24,-10.0,1,TREND,1,0
2026-02-25,97.0,2,TREND,0,0
2026-02-26,105.0,1,TREND,0,0
2026-02-27,0.0,0,CHOP,4,0
2026-03-02,141.0,1,TREND,0,0
2026-03-03,-70.0,3,TREND,2,2
2026-03-04,82.0,1,TREND,1,1
2026-03-05,-125.0,3,TREND,1,1
2026-03-06,255.0,3,TREND,0,0
2026-03-09,-160.0,3,TREND,0,0
2026-03-10,15.0,2,TREND,0,0
2026-03-11,30.0,1,TREND,0,0
2026-03-12,-202.0,3,TREND,0,0
2026-03-13,-152.0,2,TREND,0,0
2026-03-16,-114.0,3,TREND,0,0
2026-03-17,99.0,1,TREND,0,0
2026-03-18,194.0,1,TREND,0,0
2026-03-19,143.0,2,TREND,1,1
2026-03-23,-214.0,4,TREND,0,0
2026-03-24,200.0,1,TREND,0,0
2026-03-25,167.0,3,TREND,0,0
2026-03-26,129.0,1,TREND,0,0
2026-03-27,-144.0,2,TREND,0,0
2026-03-30,70.0,2,TREND,0,0
2026-03-31,-10.0,2,TREND,0,0
2026-04-01,-58.0,2,TREND,0,0
2026-04-02,348.0,1,TREND,0,0
2026-04-06,-182.0,2,TREND,0,0
2026-04-07,-178.0,2,TREND,0,0
2026-04-08,-548.0,4,TREND,0,0
2026-04-09,-122.0,2,CHOP,0,0
2026-04-10,-58.0,2,TREND,0,0
2026-04-13,-284.0,3,TREND,0,0
2026-04-14,-134.0,2,TREND,0,0
2026-04-15,329.0,1,TREND,0,0
2026-04-16,182.0,1,TREND,0,0
2026-04-17,269.0,1,TREND,1,0
2026-04-20,38.0,1,CHOP,3,0
2026-04-21,156.0,2,TREND,0,0
2026-04-22,-234.0,2,TREND,0,0
2026-04-23,123.0,2,TREND,0,0
2026-04-24,-28.0,1,TREND,1,1
2026-04-27,-87.0,2,TREND,0,0
2026-04-28,186.0,2,TREND,1,0
2026-04-29,-95.0,2,TREND,0,0
2026-04-30,308.0,2,TREND,0,0
2026-05-01,123.0,1,TREND,0,0
2026-05-05,-284.0,3,TREND,0,0
2026-05-06,-22.0,1,TREND,0,0
2026-05-07,108.0,1,TREND,1,0
2026-05-08,-114.0,2,TREND,0,0
2026-05-11,-288.0,3,TREND,0,0
2026-05-12,-170.0,2,TREND,0,0
2026-05-15,-96.0,3,TREND,0,0
