date,outcome,entry_time,exit_time,entry_type,exit_type,direction,entry_price,exit_price,realized_pl,bars_held,bars_since_open,slope_purple,slope_blue,line_spacing,support_resistance_dist,new_highs_10bar,new_lows_10bar,atr_14,avg_bar_size,velocity_5bar,mfe,mae,confidence_at_entry,entry_hour
2024-09-03,TRUE_TREND,10:01:00,10:03:00,TREND_SHORT,PARTIAL_TP,short,41293.0,41202.0,91.0,2,31,-6.0000022536057696,1.4454515861742423,89.00906202196347,244.98284977483854,4,1,36.142857142857146,38.13333333333333,-49.0,91.0,0.0,0.0,10
2024-09-03,TRUE_TREND,14:53:00,15:08:00,TREND_SHORT,CHOP_TP,short,41048.0,41024.0,48.0,15,323,-1.5311981932646952,2.5001220703125,41.72360494006716,482.78253538416175,1,5,13.928571428571429,13.533333333333333,-29.0,24.0,0.0,0.0,14
2024-09-03,TRUE_TREND,15:35:00,15:40:00,TREND_SHORT,PARTIAL_TP,short,40994.0,40912.0,82.0,5,365,1.00001107865021,0.5711902201417003,74.13761879356025,543.753723015092,3,3,19.357142857142858,19.4,-82.0,82.0,0.0,0.0,15
2024-09-04,FALSE_TREND,10:08:00,10:17:00,TREND_LONG,EXIT_FLAT,long,41152.0,41088.0,-128.0,9,38,1.8357480615601505,1.8251376309237637,106.87716639856808,209.98637147200498,1,1,51.0,49.0,46.0,13.0,-64.0,0.0,10
2024-09-04,TRUE_TREND,10:44:00,11:04:00,TREND_LONG,PARTIAL_TP,long,41195.0,41256.0,61.0,20,74,-0.24990234374999998,3.047280970982143,35.919637276791036,237.97311120750237,5,0,24.642857142857142,24.8,41.0,61.0,-28.0,0.0,10
2024-09-04,TRUE_TREND,13:27:00,14:04:00,TREND_SHORT,CHOP_TP,short,40961.0,40948.0,26.0,37,237,-2.2999597326501617,-1.1137939744670977,112.27874291736953,306.9469590654917,1,4,19.0,19.0,-27.0,34.0,-17.0,0.0,13
2024-09-05,TRUE_TREND,10:47:00,11:01:00,TREND_SHORT,PARTIAL_TP,short,40911.0,40816.0,95.0,14,77,-0.7916556490384615,-5.176745634863046,47.333774038459524,278.9543804252244,1,6,25.214285714285715,24.733333333333334,-100.0,95.0,0.0,0.0,10
2024-09-05,TRUE_TREND,11:13:00,11:24:00,TREND_SHORT,PARTIAL_TP,short,40810.0,40759.0,51.0,11,103,-2.9994866487336687,-2.25048828125,83.02156075318635,367.93877374447766,3,1,30.785714285714285,29.733333333333334,-77.0,51.0,0.0,0.0,11
2024-09-05,FALSE_TREND,12:12:00,12:42:00,TREND_SHORT,EXIT_FLAT,short,40644.0,40712.0,-136.0,30,162,-0.31812424879807694,0.9089506278226981,53.04689378004696,528.90335854562,4,2,18.785714285714285,18.933333333333334,-53.0,42.0,-68.0,0.0,12
2024-09-06,TRUE_TREND,10:13:00,10:23:00,TREND_SHORT,PARTIAL_TP,short,40836.0,40773.0,63.0,10,43,-9.1103615775566,-1.7942428846520286,25.10361577556614,259.97831279428647,0,7,32.92857142857143,32.93333333333333,-9.0,63.0,-14.0,0.0,10
